stock_code,Stknme,industry,Nindnme
300933,中辰股份,C76,电器机械及器材制造业
300935,盈建科,G87,计算机应用服务业
300936,中英科技,G,信息技术业
300937,药易购,H,批发和零售贸易
300938,信测标准,K20,专业、科研服务业
300939,秋田微,G,信息技术业
300940,南极光,G,信息技术业
300941,创识科技,G87,计算机应用服务业
300942,易瑞生物,C81,医药制造业
300943,春晖智控,C71,普通机械制造业
300945,曼卡龙,H11,零售业
300946,恒而达,C69,金属制品业
300947,德必集团,K99,其他社会服务业
300948,冠中生态,K99,其他社会服务业
300949,奥雅股份,K20,专业、科研服务业
300950,德固特,C73,专用设备制造业
300951,博硕科技,G,信息技术业
300952,恒辉安防,C11,纺织业
300953,震裕科技,C73,专用设备制造业
300955,嘉亨家化,C4,石油、化学、塑胶、塑料
300956,英力股份,G,信息技术业
300957,贝泰妮,C43,化学原料及化学制品制造业
300958,建工修复,K99,其他社会服务业
300959,线上线下,G87,计算机应用服务业
300960,通业科技,C75,交通运输设备制造业
300961,深水海纳,K99,其他社会服务业
300962,中金辐照,C99,其他制造业
300963,中洲特材,C67,有色金属冶炼及压延加工业
300964,本川智能,G,信息技术业
300965,*ST 恒宇,G,信息技术业
300966,共同药业,C81,医药制造业
300967,晓鸣股份,A05,畜牧业
300968,格林精密,G,信息技术业
300969,恒帅股份,C75,交通运输设备制造业
300970,华绿生物,A01,农业
300971,博亚精工,C71,普通机械制造业
300972,万辰集团,A01,农业
300973,立高食品,C03,食品制造业
300975,商络电子,H,批发和零售贸易
300976,达瑞电子,G,信息技术业
300977,深圳瑞捷,K20,专业、科研服务业
300978,东箭科技,C75,交通运输设备制造业
300979,华利集团,C14,皮革、毛皮、羽绒及制品制造业
300980,祥源新材,C4,石油、化学、塑胶、塑料
300981,中红医疗,C4,石油、化学、塑胶、塑料
300982,苏文电能,E01,土木工程建筑业
300983,尤安设计,K20,专业、科研服务业
300984,金沃股份,C71,普通机械制造业
300985,致远新能,C69,金属制品业
300986,志特新材,C69,金属制品业
300987,川网传媒,G87,计算机应用服务业
300988,津荣天宇,C69,金属制品业
300989,蕾奥规划,K20,专业、科研服务业
300990,同飞股份,C71,普通机械制造业
