stock_code,Stknme,industry,Nindnme
301509,金凯生科,C81,医药制造业
301510,固高科技,C78,仪器仪表及文化、办公用机械制造业
301511,德福科技,G,信息技术业
301512,智信精密,C73,专用设备制造业
301515,港通医疗,C73,专用设备制造业
301516,中远通,G,信息技术业
301517,陕西华达,G,信息技术业
301518,长华化学,C43,化学原料及化学制品制造业
301519,舜禹股份,K99,其他社会服务业
301520,万邦医药,K20,专业、科研服务业
301522,上大股份,C69,金属制品业
301525,儒竞科技,C76,电器机械及器材制造业
301526,国际复材,C61,非金属矿物制品业
301528,多浦乐,C78,仪器仪表及文化、办公用机械制造业
301529,福赛科技,C75,交通运输设备制造业
301533,威马农机,C73,专用设备制造业
301535,浙江华远,C75,交通运输设备制造业
301536,星宸科技,G,信息技术业
301538,骏鼎达,C4,石油、化学、塑胶、塑料
301539,宏鑫科技,C75,交通运输设备制造业
301548,崇德科技,C71,普通机械制造业
301550,斯菱股份,C75,交通运输设备制造业
301551,无线传媒,G85,通信服务业
301552,科力装备,C75,交通运输设备制造业
301555,惠柏新材,C43,化学原料及化学制品制造业
301556,托普云农,G87,计算机应用服务业
301557,常友科技,C61,非金属矿物制品业
301558,三态股份,H11,零售业
301559,中集环科,C71,普通机械制造业
301565,中仑新材,C4,石油、化学、塑胶、塑料
301566,达利凯普,G,信息技术业
301567,贝隆精密,G,信息技术业
301568,思泰克,C73,专用设备制造业
301571,国科天成,G,信息技术业
301577,美信科技,G,信息技术业
301578,辰奕智能,G,信息技术业
301580,爱迪特,C73,专用设备制造业
301581,黄山谷捷,C75,交通运输设备制造业
301585,蓝宇股份,C43,化学原料及化学制品制造业
301586,佳力奇,C75,交通运输设备制造业
301587,中瑞股份,C69,金属制品业
301588,美新科技,C4,石油、化学、塑胶、塑料
301589,诺瓦星云,G,信息技术业
301591,肯特股份,C4,石油、化学、塑胶、塑料
301592,六九一二,G87,计算机应用服务业
301596,瑞迪智驱,C71,普通机械制造业
301598,博科测试,C73,专用设备制造业
301600,慧翰股份,G,信息技术业
301601,惠通科技,K20,专业、科研服务业
301602,超研股份,C73,专用设备制造业
301603,乔锋智能,C71,普通机械制造业
301606,绿联科技,G,信息技术业
301607,富特科技,C75,交通运输设备制造业
301608,博实结,G,信息技术业
301611,珂玛科技,G,信息技术业
301613,新铝时代,C75,交通运输设备制造业
301616,浙江华业,C71,普通机械制造业
301617,博苑股份,C43,化学原料及化学制品制造业
301618,长联科技,C43,化学原料及化学制品制造业
301622,英思特,G,信息技术业
301626,苏州天脉,G,信息技术业
301628,强达电路,G,信息技术业
301629,矽电股份,C73,专用设备制造业
301631,壹连科技,G,信息技术业
301633,港迪技术,G87,计算机应用服务业
301658,首航新能,C76,电器机械及器材制造业
302132,中航成飞,G,信息技术业
430017,星昊医药,C81,医药制造业
430047,诺思兰德,C81,医药制造业
430090,同辉信息,G87,计算机应用服务业
430139,华岭股份,G,信息技术业
430198,微创光电,G,信息技术业
430300,辰光医疗,C73,专用设备制造业
430418,苏轴股份,C71,普通机械制造业
430425,乐创技术,G87,计算机应用服务业
430476,海能技术,C78,仪器仪表及文化、办公用机械制造业
430478,峆一药业,C81,医药制造业
430489,佳先股份,C43,化学原料及化学制品制造业
430510,丰光精密,C69,金属制品业
430556,雅达股份,C78,仪器仪表及文化、办公用机械制造业
430564,天润科技,G87,计算机应用服务业
430685,新芝生物,C78,仪器仪表及文化、办公用机械制造业
430718,合肥高科,C76,电器机械及器材制造业
600000,浦发银行,I01,银行业
600001,邯郸钢铁,C65,黑色金属冶炼及压延加工业
600002,齐鲁石化,C41,石油加工及炼焦业
600003,ST 东北高,F11,交通运输辅助业
600004,白云机场,F09,航空运输业
600005,武钢股份,C65,黑色金属冶炼及压延加工业
600006,东风股份,C75,交通运输设备制造业
600007,中国国贸,J,房地产业
600008,首创环保,D05,自来水的生产和供应业
600009,上海机场,F09,航空运输业
600010,包钢股份,C65,黑色金属冶炼及压延加工业
600011,华能国际,D01,电力、蒸汽、热水的生产和供应业
600012,皖通高速,F03,公路运输业
600015,华夏银行,I01,银行业
600016,民生银行,I01,银行业
600017,日照港,F07,水上运输业
600018,上港集团,F07,水上运输业
600019,宝钢股份,C65,黑色金属冶炼及压延加工业
600020,中原高速,F03,公路运输业
600021,上海电力,D01,电力、蒸汽、热水的生产和供应业
600022,山东钢铁,C65,黑色金属冶炼及压延加工业
600023,浙能电力,D01,电力、蒸汽、热水的生产和供应业
600025,华能水电,D01,电力、蒸汽、热水的生产和供应业
600026,中远海能,F07,水上运输业
600027,华电国际,D01,电力、蒸汽、热水的生产和供应业
600028,中国石化,B03,石油和天然气开采业
600029,南方航空,F09,航空运输业
600030,中信证券,I21,证券、期货业
600031,三一重工,C73,专用设备制造业
600032,浙江新能,D01,电力、蒸汽、热水的生产和供应业
600033,福建高速,F03,公路运输业
600035,楚天高速,F03,公路运输业
600036,招商银行,I01,银行业
600037,歌华有线,G85,通信服务业
600038,中直股份,C75,交通运输设备制造业
600039,四川路桥,E01,土木工程建筑业
600048,保利发展,J,房地产业
600050,中国联通,G85,通信服务业
