Trddt,market_return
2020-08-31,0.0015908944526264114
2020-09-01,0.00986047804758401
2020-09-02,0.005928813771134527
2020-09-03,-0.00800847123623011
2020-09-04,0.0023489536991670753
2020-09-07,-0.010543078392944634
2020-09-08,0.009571705824767499
2020-09-09,-0.025191113970588232
2020-09-10,-0.03481838937836515
2020-09-11,0.01491439056003913
2020-09-14,0.015599431718061673
2020-09-15,0.003179453812316716
2020-09-16,-0.003641319091796875
2020-09-17,0.006205301877590832
2020-09-18,0.012711731499513147
2020-09-21,-0.0008676320272572402
2020-09-22,-0.013867941462229777
2020-09-23,0.007327157153266942
2020-09-24,-0.023716534578985683
2020-09-25,-0.005066116064938212
2020-09-28,-0.011518746246973367
2020-09-29,0.007540533849129594
2020-09-30,-0.0016748849963759364
2020-10-09,0.02961652100434573
2020-10-12,0.029831925380342912
2020-10-13,0.0037774368065605405
2020-10-14,-0.005345570222007723
2020-10-15,-0.006842893873613121
2020-10-16,0.002920986740597878
2020-10-19,-0.004563529992772826
2020-10-20,0.01039023964354528
2020-10-21,-0.01087510305803034
2020-10-22,-0.002867649987972095
2020-10-23,-0.01260128973310892
2020-10-26,0.0021928786057692305
2020-10-27,0.0007137676039413603
2020-10-28,0.0018790848353761117
2020-10-29,-0.0003762085433165347
2020-10-30,-0.025573709213051823
2020-11-02,0.0004929856046065256
2020-11-03,0.019799113243761993
2020-11-04,-0.00200954569441113
2020-11-05,0.01851813183125599
2020-11-06,-0.008565423196740952
2020-11-09,0.022076513274336282
2020-11-10,-0.008753087996174079
2020-11-11,-0.010421505736137666
2020-11-12,0.0020931134463816575
2020-11-13,0.0001948271988527724
2020-11-16,0.010172875985663082
2020-11-17,-0.006092115834726534
2020-11-18,0.0062287373568702285
2020-11-19,0.003049230255308996
2020-11-20,0.005394694106418516
2020-11-23,0.003947804866412214
2020-11-24,-2.9220896946564803e-05
2020-11-25,-0.012600273204485804
2020-11-26,-0.0039591832697807436
2020-11-27,0.00019667238503693113
2020-11-30,-0.002288187842669845
2020-12-01,0.013322893495353826
2020-12-02,0.0035159466285441983
2020-12-03,-0.0015426995238095238
2020-12-04,0.0023314639371578194
2020-12-07,-0.003175394811994288
2020-12-08,-0.001889494296577947
2020-12-09,-0.018098178707224334
2020-12-10,-0.0002527450700879068
2020-12-11,-0.015631504510921178
2020-12-14,0.0067874194543297755
2020-12-15,-0.0008460616405879563
2020-12-16,-0.00979821435338702
2020-12-17,0.00890357450841033
2020-12-18,-0.0033558080018939395
2020-12-21,0.01082455550295858
2020-12-22,-0.019303128314393937
2020-12-23,0.0044028360927152324
2020-12-24,-0.017863913947990546
2020-12-25,0.009980693434104865
2020-12-28,-0.010643778249587168
2020-12-29,-0.002362072084805654
2020-12-30,0.005610172356957853
2020-12-31,0.014693009884678749
2021-01-04,0.014713679444967074
2021-01-05,-0.0006337428302773859
2021-01-06,-0.011884391682330827
2021-01-07,-0.02358424712508801
2021-01-08,-0.0009273204316209241
2021-01-11,-0.022290934741784035
2021-01-12,0.007724340450492725
2021-01-13,-0.01445507950281426
2021-01-14,0.004230147852616757
2021-01-15,0.013334672616251762
2021-01-18,0.015370988265665336
2021-01-19,0.004426749120750292
2021-01-20,0.004872034943714822
2021-01-21,0.007842009374267636
2021-01-22,-0.007755384507371869
2021-01-25,-0.013656061549262813
2021-01-26,-0.008059136140350876
2021-01-27,0.002476814676326244
2021-01-28,-0.012215460910151693
2021-01-29,-0.013750966176813623
2021-02-01,0.006421196270396271
2021-02-02,0.002070490561640643
2021-02-03,-0.013257044734389562
2021-02-04,-0.01790012904728628
2021-02-05,-0.012152221238938051
2021-02-08,0.002494513500931098
2021-02-09,0.019702963057620818
2021-02-10,0.009289852736549165
2021-02-18,0.025428251277287508
2021-02-19,0.02623245060296846
2021-02-22,0.008544408764201252
2021-02-23,-0.005528639082058415
2021-02-24,-0.000595227704424369
2021-02-25,-0.00431303334105117
2021-02-26,-0.0032693969907407402
2021-03-01,0.02203797708863689
2021-03-02,-0.00518631466913466
2021-03-03,0.01530024196160074
2021-03-04,-0.008560492250751792
2021-03-05,0.007997392460684552
2021-03-08,-0.01172354207119741
2021-03-09,-0.024006685925583544
2021-03-10,-0.010927902726432532
2021-03-11,0.020855868500115556
2021-03-12,0.0012945721875721873
2021-03-15,-0.002713941339491917
2021-03-16,0.01283503970452447
2021-03-17,0.006447744518809139
2021-03-18,0.002396195847750865
2021-03-19,-0.002006555606829718
2021-03-22,0.017410933011049724
2021-03-23,-0.010269024160147262
2021-03-24,-0.007293857832988269
2021-03-25,-0.002866692183908046
2021-03-26,0.013577932460372158
2021-03-29,0.0035943628643562084
2021-03-30,-0.005997561238532109
2021-03-31,0.002804276732446076
2021-04-01,0.0033770247536099012
2021-04-02,0.0049898319578175155
2021-04-06,0.010965048741418763
2021-04-07,0.0074361357600732595
2021-04-08,-0.0055272807137954705
2021-04-09,0.0053719691428571435
2021-04-12,-0.011370691482073534
2021-04-13,-0.005829299475005707
2021-04-14,0.011296918548939081
2021-04-15,-0.001774229399680438
2021-04-16,0.015911826721386232
2021-04-19,0.014659344874715262
2021-04-20,-0.0035117964480874315
2021-04-21,-0.0014759191092933426
2021-04-22,0.004089531242899341
2021-04-23,-0.00787568609150922
2021-04-26,-0.002680608231014097
2021-04-27,-0.0066651265101436066
2021-04-28,0.003383664090909091
2021-04-29,-0.0025159477765108323
2021-04-30,-0.006869526255707763
2021-05-06,0.004856832728098048
2021-05-07,-0.004099516004540295
2021-05-10,0.005091623241034952
2021-05-11,0.006319001134044001
